name	term	lev	seq	value
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g56820	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g73490	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g63937	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g103087	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g47104	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g53298	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g79823	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g53297	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g54167	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g39738	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g113148	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g89595	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g76898	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g84098	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g71512	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g34691	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g153373	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g122274	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g82803	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g162163	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g34690	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g32244	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g152287	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g130834	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g160035	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g54254	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g144477	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g69080	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g82802	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g112812	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g71513	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g69179	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g71511	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g86796	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g104233	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g109019	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g18661	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g109018	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g54827	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g151280	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g76520	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g37744	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g128664	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g39787	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g128311	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g93123	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g145326	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g140877	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g104234	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g1573	0
"cation transmembrane transporter activity"	GO:0022890;GO:0008324;GO:0046873	3	g121978	0
