id,sign
g38,0.40527985981991
g6732,0.625499735404699
g6327,0.431611353225018
g421,0.34183870104259
g6193,0.554845161572703
g2908,0.45920927915886
g507,0.398451590287157
g1254,0.38475164013184
g3812,0.496688092847839
g978,0.397260556836606
g842,0
g7143,0
g1285,0
g5229,0
g4198,0
g7008,0
g3839,0
g7370,0
g802,0
g2937,0
g9050,0
g4677,0
g1213,0
g5550,0
g7506,0
g288,0
g2097,0
g269,0
g7916,0
g741,0
g6883,0
g6509,0
g289,0
g2137,0
g9052,0
g1202,0
g8080,0
g2217,0
g200,0
g8217,0
g4236,0
g2795,0
g1992,0
g4766,0
g3678,0
g3415,0
g3736,0
g1246,0
g345,0
g5109,0
g8295,0
g1473,0
g7615,0
g5725,0
g354,0
g3528,0
g4107,0
g3161,0
g1616,0
g4802,0
g1765,0
g5788,0
g1426,0
g7131,0
g1300,0
g6827,0
g214,0
g1958,0
g3246,0
g2464,0
g3244,0
g5778,0
g7273,0
g2472,0
g5868,0
g3805,0
g5133,0
g7718,0
g2113,0
g7276,0
g8922,0
g5278,0
g204,0
g4678,0
g8116,0
g9231,0
g3032,0
g400,0
g4288,0
g7869,0
g3423,0
g5486,0
g112,0
g6143,0
g1460,0
g7821,0
g2454,0
g493,0
g8735,0
g8152,0
g6970,0
g5480,0
g6523,0
g6947,0
g3466,0
g8212,0
g2704,0
g4694,0
g6654,0
g6358,0
g7277,0
g6648,0
g445,0
g6986,0
g865,0
g3029,0
g7287,0
g3768,0
g3179,0
g6763,0
g8039,0
g7498,0
g1029,0
g598,0
g1343,0
g596,0
g1857,0
g1030,0
g5389,0
g2642,0
g4298,0
g7739,0
g2072,0
g2417,0
g4738,0
g338,0
g8756,0
g3744,0
g1889,0
g7331,0
g7451,0
g5301,0
g7001,0
g877,0
g7268,0
g7080,0
g880,0
g4947,0
g6032,0
g4324,0
g1873,0
g337,0
g3040,0
g1871,0
g6721,0
g7849,0
g344,0
g7123,0
g8786,0
g2332,0
g1710,0
g93,0
g6283,0
g7333,0
g8488,0
g9248,0
g1247,0
g2134,0
g104,0
g699,0
g6900,0
g2593,0
g6661,0
g8276,0
g6236,0
g210,0
g1051,0
g7760,0
g7465,0
g4986,0
g6418,0
g1957,0
g6458,0
g6723,0
g2117,0
g6010,0
g7809,0
g8754,0
g2219,0
g6265,0
g6465,0
g5847,0
g9018,0
g4106,0
g135,0
g3677,0
g6565,0
g6262,0
g5716,0
g8327,0
g6450,0
g4468,0
g7212,0
g4145,0
g7968,0
g8186,0
g6632,0
g7382,0
g2455,0
g8618,0
g2331,0
g5857,0
g197,0
g1385,0
g5186,0
g4133,0
g2458,0
g8663,0
g5401,0
g8589,0
g3886,0
g7975,0
g4899,0
g9057,0
g5531,0
g8766,0
g2024,0
g6170,0
g491,0
g571,0
g4561,0
g5333,0
g5036,0
g8443,0
g6117,0
g8987,0
g3899,0
g6619,0
g5046,0
g7227,0
g7226,0
g3194,0
g998,0
g7470,0
g6671,0
g6704,0
g7378,0
g7584,0
g9106,0
g4168,0
g9142,0
g882,0
g7571,0
g1995,0
g9132,0
g8450,0
g7824,0
g9158,0
g9107,0
g8440,0
g8986,0
g9143,0
g2462,0
g3906,0
g1830,0
g6114,0
g3985,0
g5914,0
g3935,0
g3939,0
g3986,0
g5146,0
g6629,0
g183,0
g3480,0
g698,0
g8140,0
g3991,0
g8441,0
g8926,0
g5823,0
g991,0
g6786,0
g3687,0
g4190,0
g7851,0
g9114,0
g5530,0
g703,0
g1297,0
g995,0
g3988,0
g993,0
g1260,0
g5497,0
g8211,0
g1662,0
g687,0
g2750,0
g667,0
g3685,0
g4022,0
g5435,0
g870,0
g1663,0
g8409,0
g8036,0
g5697,0
g4094,0
g8219,0
g1760,0
g3814,0
g2771,0
g1103,0
g7734,0
g429,0
g4099,0
g432,0
g8168,0
g1759,0
g4093,0
g834,0
g5935,0
g5819,0
g2054,0
g1914,0
g7607,0
g4228,0
g6650,0
g4110,0
g5082,0
g7730,0
g6608,0
g4316,0
g3875,0
g8710,0
g4092,0
g8300,0
g415,0
g99,0
g2588,0
g2863,0
g6876,0
g4809,0
g1279,0
g2064,0
g4573,0
g4127,0
g8406,0
g5394,0
g6993,0
g8432,0
g4210,0
g5395,0
g2702,0
g2538,0
g3916,0
g3674,0
g5098,0
g444,0
g6977,0
g8772,0
g4575,0
g2886,0
g2678,0
g2059,0
g1764,0
g5975,0
g9183,0
g442,0
g7548,0
g3877,0
g314,0
g2317,0
g2721,0
g5770,0
g6857,0
g1014,0
g7890,0
g3785,0
g612,0
g5295,0
g3819,0
g874,0
g463,0
g483,0
g5403,0
g5769,0
g859,0
g4635,0
g5796,0
g3043,0
g4830,0
g5293,0
g5521,0
g903,0
g875,0
g8691,0
g2618,0
g2012,0
g1271,0
g4943,0
g1022,0
g479,0
g2905,0
g1269,0
g4864,0
g1712,0
g8783,0
g2906,0
g6093,0
g2247,0
g3746,0
g5638,0
g468,0
g2907,0
g5710,0
g6365,0
g5184,0
g4524,0
g3271,0
g211,0
g6263,0
g8273,0
g7850,0
g927,0
g8632,0
g1499,0
g3272,0
g1664,0
g1090,0
g4079,0
g1724,0
g1556,0
g7467,0
g8737,0
g7538,0
g876,0
g2986,0
g343,0
g2591,0
g968,0
g6472,0
g3197,0
g6299,0
g3333,0
g8924,0
g2160,0
g36,0
g2262,0
g2516,0
g4035,0
g4067,0
g336,0
g3331,0
g6301,0
g7079,0
g9249,0
g2108,0
g2257,0
g4166,0
g3582,0
g2260,0
g6451,0
g4034,0
g6013,0
g4018,0
g6039,0
g7995,0
g5359,0
g9019,0
g1150,0
g2655,0
g4132,0
g6634,0
g6717,0
g5607,0
g9012,0
g4938,0
g1475,0
g346,0
g4958,0
g8340,0
g4557,0
g5257,0
g3190,0
g2954,0
g7888,0
g7741,0
g8308,0
g5794,0
g4952,0
g8305,0
g6078,0
g6060,0
g224,0
g3691,0
g5496,0
g4980,0
g3492,0
g2767,0
g2785,0
g4153,0
g8318,0
g3951,0
g900,0
g8314,0
g9082,0
g6728,0
g7938,0
g9081,0
g8310,0
g8521,0
g9229,0
g2522,0
g6715,0
g3217,0
g8245,0
g5541,0
g3591,0
g7872,0
g1550,0
g7319,0
g7416,0
g7183,0
g7279,0
g5200,0
g3629,0
g8396,0
g8244,0
g781,0
g352,0
g3628,0
g4981,0
g1592,0
g7939,0
g5310,0
g3788,0
g6956,0
g2327,0
g3627,0
g3954,0
g6716,0
g9169,0
g1934,0
g4982,0
g3832,0
g4747,0
g519,0
g734,0
g996,0
g6596,0
g2183,0
g7234,0
g2181,0
g2182,0
g7052,0
g1125,0
g15,0
g8289,0
g5035,0
g6325,0
g212,0
g411,0
g1792,0
g5246,0
g6990,0
g8438,0
g7188,0
g1109,0
g9221,0
g8674,0
g2539,0
g5130,0
g917,0
g8176,0
g8291,0
g8523,0
g838,0
g9247,0
g5061,0
g5143,0
g3778,0
g2390,0
g4366,0
g3615,0
g6260,0
g341,0
g8139,0
g1623,0
g7700,0
g1632,0
g1640,0
g6957,0
g4036,0
g617,0
g735,0
g5625,0
g599,0
g8732,0
g8977,0
g921,0
g4732,0
g576,0
g6894,0
g3789,0
g5553,0
g3195,0
g7770,0
g5845,0
g8093,0
g3956,0
g2424,0
g7783,0
g3831,0
g7413,0
g4641,0
g4939,0
g4183,0
g1323,0
g6259,0
g5466,0
g2903,0
g4726,0
g9252,0
g2239,0
g4241,0
g5556,0
g2428,0
g4896,0
g1355,0
g4723,0
g1332,0
g7776,0
g2045,0
g3790,0
g8326,0
g5991,0
g7585,0
g658,0
g5915,0
g4401,0
g7559,0
g4664,0
g1845,0
g7560,0
g4164,0
g4722,0
g5292,0
g8378,0
g6577,0
g85,0
g2042,0
g1945,0
g3228,0
g5867,0
g2204,0
g7528,0
g3959,0
g3523,0
g6891,0
g7704,0
g516,0
g4214,0
g5906,0
g3337,0
g4727,0
g6449,0
g5617,0
g6727,0
g2447,0
g1506,0
g3930,0
g3137,0
g7798,0
g4373,0
g5664,0
g2869,0
g8487,0
g3069,0
g3971,0
g4898,0
g6498,0
g2933,0
g5183,0
g1598,0
g235,0
g2871,0
g8861,0
g6579,0
g8114,0
g4081,0
g4372,0
g2817,0
g3767,0
g2915,0
g6061,0
g426,0
g8130,0
g8478,0
g597,0
g4118,0
g740,0
g3412,0
g1581,0
g4085,0
g466,0
g5908,0
g2466,0
g423,0
g7189,0
g4087,0
g8891,0
g3645,0
g3092,0
g3318,0
g1027,0
g4577,0
g5805,0
g8976,0
g4114,0
g1573,0
g2225,0
g9087,0
g5777,0
g6586,0
g2340,0
g7024,0
g6354,0
g4821,0
g5320,0
g3098,0
g1333,0
g4591,0
g5102,0
g7027,0
g4116,0
g375,0
g137,0
g808,0
g7763,0
g5358,0
g5357,0
g6135,0
g2782,0
g3354,0
g7034,0
g307,0
g8196,0
g6068,0
g467,0
g4538,0
g3125,0
g1564,0
g806,0
g8694,0
g7953,0
g8798,0
g6584,0
g7449,0
g1494,0
g7028,0
g8820,0
g4828,0
g2844,0
g3697,0
g1122,0
g2763,0
g3121,0
g8197,0
g5962,0
g8888,0
g8952,0
g5718,0
g5986,0
g1563,0
g8849,0
g2343,0
g7720,0
g7985,0
g810,0
g3826,0
g4411,0
g652,0
g7251,0
g7187,0
g5153,0
g7497,0
g7984,0
g3359,0
g7983,0
g7253,0
g3828,0
g2065,0
g4380,0
g1904,0
g6187,0
g7947,0
g1342,0
g528,0
g1897,0
g7509,0
g3506,0
g6604,0
g3383,0
g3200,0
g2255,0
g7697,0
g8671,0
g5492,0
g4567,0
g8806,0
g6770,0
g7372,0
g6771,0
g1832,0
g7282,0
g6102,0
g7375,0
g3351,0
g6395,0
g4918,0
g4920,0
g4807,0
g5649,0
g5929,0
g1807,0
g3350,0
g3294,0
g531,0
g2,0
g7911,0
g5151,0
g5113,0
g3167,0
g8866,0
g1301,0
g6911,0
g5281,0
g1973,0
g5931,0
g1543,0
g4234,0
g1465,0
g4597,0
g5450,0
g3099,0
g6890,0
g7863,0
g7862,0
g9031,0
g907,0
g7924,0
g4237,0
g2487,0
g5932,0
g7747,0
g402,0
g7715,0
g1416,0
g5551,0
g6573,0
g1446,0
g6368,0
g5112,0
g8,0
g7853,0
g6369,0
g1879,0
g274,0
g6349,0
g4012,0
g8149,0
g4768,0
g6562,0
g893,0
g6179,0
g7174,0
g4470,0
g2392,0
g2526,0
g6178,0
g8067,0
g1607,0
g5827,0
g6752,0
g173,0
g6660,0
g7177,0
g4423,0
g433,0
g7388,0
g8058,0
g561,0
g8465,0
g3700,0
