gene,log2FoldChange
g893,0.0959366751713958
g903,0.150384045295073
g906,-0.110031347201765
g907,-0.385671176110984
g909,0.132136269825034
g900,-0.0688010330744972
g901,-0.0688684254504253
g917,-0.143467885060714
g930,0.16123567891229
g927,0.0215519811992987
g921,-0.168009241262278
g945,-0.0424668375854719
g949,0.143592131667077
g959,0.174696117836223
g993,0.0523488237955164
g992,0.238661466472917
g991,0.0310940933632072
g995,0.150408767719953
g978,0.0938508455281256
g996,-0.353278379181938
g998,-0.149839661545978
g1022,0.150941885427203
g1014,0.120493345313841
g1036,-0.0624301748729519
g1027,-0.0447318840086096
g1029,0.063346989960101
g1051,-0.0692440486129263
g1100,-0.0155241910273026
g1103,0.0959023100020139
g1104,0.140885799319038
g1107,0.0414483775748435
g1109,-0.249486426989919
g1097,0.0930327717821505
g1094,0.287232676311471
g1098,0.206561005546324
g1110,0.0608579890675231
g1122,-0.156246129435594
g1120,-0.399068235536204
g1127,-0.206584706010846
g1125,-1.00800180618976
g1135,-0.161666844075369
g1136,-0.0125479789475405
g1150,-0.405681664669885
g1157,0.332250422947472
g1163,0.13843182690062
g1148,-0.0515773421942905
g1140,-0.00546673464615912
g1198,0.0700968623716774
g1202,0.136637492895468
g1214,0.180939776692278
g1250,-0.0498266247034824
g1251,0.0624300474119231
g1239,-0.282811787844068
g1249,0.0485304833537748
g1245,0.96481326396376
g1240,-0.271231870586984
g1260,0.112067398396407
g1282,0.0611396805417755
g1272,-0.124495025341958
g1271,-0.254278519685765
g1289,0.0831429232739203
g1285,0.0154015756339398
g1269,-0.251633163845317
g1297,-0.0948243392121202
g1300,-0.240949674946804
g1301,-0.295120982983484
g1322,-0.225101823916594
g1323,0.0689929799280066
g1329,0.0374265980776264
g1342,-0.18037877883457
g1333,-0.168599982459334
g1332,-0.0868315453869273
g1370,0.0611885993640955
g1352,-0.105252962056572
g1361,-0.062944694501944
g1362,0.0451034089897851
g1363,0.205614233882741
g1377,0.00651288142963282
g1390,0.103929496192437
g1393,-0.17516638828216
g1380,0.172117661229725
g1384,0.304939133735199
g1416,-0.229617749584711
g1426,-0.0319611204904802
g1425,0.111478171549594
g1451,-0.272242819878746
g1445,-0.072691822509307
g1444,-0.215902268771632
g1446,-0.297342460057065
g1436,-0.165130263395744
g1473,-0.0694601490823634
g1466,-0.0928531300541518
g1465,-0.143574014733157
g1464,-0.287908058533549
g1460,-0.00459613495468639
g1457,0.099336019376402
g1479,0.0559591102572959
g1476,0.204889727686585
g1477,0.0534952886634236
g1492,0.114961814577807
g1494,-0.251696073116989
g1499,0.391331507018284
g1506,0.0525945853858849
g1501,0.134403440157239
g1520,0.130105244519052
g1527,0.0544526464801726
g1521,0.0563591640530871
g1541,0.000140729222113718
g1556,-0.0532458447706275
g1550,-0.149715457882227
g1563,-0.168891922535094
g1564,-0.315898148773719
g1573,-0.0749903950825283
g1581,-0.150856479454232
g1592,-0.0774666755536486
g1598,0.0370116013132804
g1610,0.308447082005762
g1612,0.0720184411612964
g1613,-0.0174924849431241
g1607,-0.212681011552309
g1604,-0.20451286439516
g1601,-0.368207153268983
g1600,0.124624504186712
g1623,-0.192089020501416
g1622,-0.230402529122281
